SYMBOL,COMPANY,SUBJECT,DETAILS,RECIEPT,ATTACHMENT,FILE_PATH,TEXT_PATH
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-02-02 15:35:05,https://nsearchives.nseindia.com/corporate/xbrl/ITC_02022024153505_LOSS_OF_SHARE_1042625_02022024033504_WEB.xml,./RE_Download\ITC_02022024153505_LOSS_OF_SHARE_1042625_02022024033504_WEB.xml,./RE_Download\ITC_02022024153505_LOSS_OF_SHARE_1042625_02022024033504_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-02-02 15:34:04,https://nsearchives.nseindia.com/corporate/ITC_02022024153404_LOSS_02022024_SIGNED.pdf,./RE_Download\ITC_02022024153404_LOSS_02022024_SIGNED.pdf,./RE_Download\ITC_02022024153404_LOSS_02022024_SIGNED.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-01-31 18:41:14,https://nsearchives.nseindia.com/corporate/xbrl/ITC_31012024184114_LOSS_OF_SHARE_1040725_31012024064113_WEB.xml,./RE_Download\ITC_31012024184114_LOSS_OF_SHARE_1040725_31012024064113_WEB.xml,./RE_Download\ITC_31012024184114_LOSS_OF_SHARE_1040725_31012024064113_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-31 18:39:51,https://nsearchives.nseindia.com/corporate/ITC_31012024183952_LOSS_31JAN2024_signed.pdf,./RE_Download\ITC_31012024183952_LOSS_31JAN2024_signed.pdf,./RE_Download\ITC_31012024183952_LOSS_31JAN2024_signed.txt
ITC,ITC Limited,Updates,ITC Limited has informed the Exchange regarding 'Media Statement and Presentation'.,2024-01-29 19:12:03,https://nsearchives.nseindia.com/corporate/ITC_29012024191203_SEMedia.pdf,./RE_Download\ITC_29012024191203_SEMedia.pdf,./RE_Download\ITC_29012024191203_SEMedia.txt
ITC,ITC Limited,Updates,ITC Limited has informed the Exchange regarding 'Recommendation for appointment of Director'.,2024-01-29 18:50:03,https://nsearchives.nseindia.com/corporate/ITC_29012024185003_Director.pdf,./RE_Download\ITC_29012024185003_Director.pdf,./RE_Download\ITC_29012024185003_Director.txt
ITC,ITC Limited,Record Date,ITC Limited has informed the Exchange that Record date for the purpose of Dividend  is 08-Feb-2024.,2024-01-29 18:46:33,https://nsearchives.nseindia.com/corporate/ITC_29012024184633_Dividend.pdf,./RE_Download\ITC_29012024184633_Dividend.pdf,./RE_Download\ITC_29012024184633_Dividend.txt
ITC,ITC Limited,Dividend Updates,ITC Limited has informed the Exchange about Dividend Updates,2024-01-29 18:45:12,https://nsearchives.nseindia.com/corporate/ITC_29012024184512_Dividend.pdf,./RE_Download\ITC_29012024184512_Dividend.pdf,./RE_Download\ITC_29012024184512_Dividend.txt
ITC,ITC Limited,Dividend,"ITC Limited has informed the Exchange that Board of Directors at its meeting held on January 29, 2024, declared Interim Dividend of 6.25 per equity share.",2024-01-29 18:41:25,https://nsearchives.nseindia.com/corporate/ITC_29012024184125_Results.pdf,./RE_Download\ITC_29012024184125_Results.pdf,./RE_Download\ITC_29012024184125_Results.txt
ITC,ITC Limited,Financial Result Updates,"ITC Limited has submitted to the Exchange, the financial results for the period ended December 31, 2023.",2024-01-29 18:37:40,https://nsearchives.nseindia.com/corporate/Results_29012024183740.pdf,./RE_Download\Results_29012024183740.pdf,./RE_Download\Results_29012024183740.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-01-25 17:06:26,https://nsearchives.nseindia.com/corporate/xbrl/ITC_25012024170626_LOSS_OF_SHARE_1036144_25012024050625_WEB.xml,./RE_Download\ITC_25012024170626_LOSS_OF_SHARE_1036144_25012024050625_WEB.xml,./RE_Download\ITC_25012024170626_LOSS_OF_SHARE_1036144_25012024050625_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-25 17:04:16,https://nsearchives.nseindia.com/corporate/ITC_25012024170416_LOSS_25012024_SIGNED.pdf,./RE_Download\ITC_25012024170416_LOSS_25012024_SIGNED.pdf,./RE_Download\ITC_25012024170416_LOSS_25012024_SIGNED.txt
ITC,ITC Limited,Updates,ITC Limited has informed the Exchange regarding 'Materiality Policy - List of Authorised Persons '.,2024-01-19 18:03:50,https://nsearchives.nseindia.com/corporate/ITC_19012024180350_SE.pdf,./RE_Download\ITC_19012024180350_SE.pdf,./RE_Download\ITC_19012024180350_SE.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-18 18:50:29,https://nsearchives.nseindia.com/corporate/ITC_18012024185029_REISSUE18012023_SIGNED.pdf,./RE_Download\ITC_18012024185029_REISSUE18012023_SIGNED.pdf,./RE_Download\ITC_18012024185029_REISSUE18012023_SIGNED.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Issue of duplicate share certificates/Letter of Confirmation,2024-01-18 18:48:17,https://nsearchives.nseindia.com/corporate/xbrl/ITC_18012024184817_LOSS_OF_SHARE_1027862_18012024064816_WEB.xml,./RE_Download\ITC_18012024184817_LOSS_OF_SHARE_1027862_18012024064816_WEB.xml,./RE_Download\ITC_18012024184817_LOSS_OF_SHARE_1027862_18012024064816_WEB.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-01-17 18:53:22,https://nsearchives.nseindia.com/corporate/xbrl/ITC_17012024185322_LOSS_OF_SHARE_1025621_17012024065322_WEB.xml,./RE_Download\ITC_17012024185322_LOSS_OF_SHARE_1025621_17012024065322_WEB.xml,./RE_Download\ITC_17012024185322_LOSS_OF_SHARE_1025621_17012024065322_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-17 18:52:20,https://nsearchives.nseindia.com/corporate/ITC_17012024185220_LOSS_17JAN2024_SIGNED.pdf,./RE_Download\ITC_17012024185220_LOSS_17JAN2024_SIGNED.pdf,./RE_Download\ITC_17012024185220_LOSS_17JAN2024_SIGNED.txt
ITC,ITC Limited,Alteration Of Capital and Fund Raising-XBRL,ITC LIMITED has informed the Exchange regarding Allotment of Securities,2024-01-17 10:35:57,https://nsearchives.nseindia.com/corporate/xbrl/ITC_17012024103557_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1023920_17012024103556_WEB.xml,./RE_Download\ITC_17012024103557_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1023920_17012024103556_WEB.xml,./RE_Download\ITC_17012024103557_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1023920_17012024103556_WEB.txt
ITC,ITC Limited,ESOP/ESOS/ESPS,ITC Limited has informed the Exchange regarding Allotment of 2174000  Shares.,2024-01-17 10:27:32,https://nsearchives.nseindia.com/corporate/ITC_17012024102732_AllotmentLetter.pdf,./RE_Download\ITC_17012024102732_AllotmentLetter.pdf,./RE_Download\ITC_17012024102732_AllotmentLetter.txt
ITC,ITC Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,ITC LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,2024-01-16 12:03:37,https://nsearchives.nseindia.com/corporate/xbrl/ITC_16012024120337_CIM_16416_1022192_16012024120336_WEB.xml,./RE_Download\ITC_16012024120337_CIM_16416_1022192_16012024120336_WEB.xml,./RE_Download\ITC_16012024120337_CIM_16416_1022192_16012024120336_WEB.txt
ITC,ITC Limited,Resignation,"ITC Limited has informed the Exchange regarding Resignation of Mr David Robert Simpson as Non- Executive Director of the company w.e.f. January 30, 2024.",2024-01-16 12:02:57,https://nsearchives.nseindia.com/corporate/ITC_16012024120257_SE.pdf,./RE_Download\ITC_16012024120257_SE.pdf,./RE_Download\ITC_16012024120257_SE.txt
ITC,ITC Limited,Board Meeting Intimation,ITC LIMITED has informed the Exchange about Board Meeting to be held on 29-Jan-2024 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended December 2023 and Dividend.,2024-01-15 17:14:24,https://nsearchives.nseindia.com/corporate/xbrl/ITC_15012024171424_PRIOR_INTIMATION_16368_1021424_15012024051423_WEB.xml,./RE_Download\ITC_15012024171424_PRIOR_INTIMATION_16368_1021424_15012024051423_WEB.xml,./RE_Download\ITC_15012024171424_PRIOR_INTIMATION_16368_1021424_15012024051423_WEB.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-01-10 18:17:52,https://nsearchives.nseindia.com/corporate/xbrl/ITC_10012024181753_LOSS_OF_SHARE_1014940_10012024061752_WEB.xml,./RE_Download\ITC_10012024181753_LOSS_OF_SHARE_1014940_10012024061752_WEB.xml,./RE_Download\ITC_10012024181753_LOSS_OF_SHARE_1014940_10012024061752_WEB.txt
ITC,ITC Limited,Updates,"ITC Limited has informed the Exchange regarding 'Quarterly report on Fake/Forged/Missing/Lost/Stolen/Non-transferable shares as on 31st December, 2023.'",2024-01-10 18:16:35,https://nsearchives.nseindia.com/corporate/ITC_10012024181635_Dec_2023_Qtrly_SIGNED.pdf,./RE_Download\ITC_10012024181635_Dec_2023_Qtrly_SIGNED.pdf,./RE_Download\ITC_10012024181635_Dec_2023_Qtrly_SIGNED.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-10 18:12:23,https://nsearchives.nseindia.com/corporate/ITC_10012024181223_loss_10012024_signed.pdf,./RE_Download\ITC_10012024181223_loss_10012024_signed.pdf,./RE_Download\ITC_10012024181223_loss_10012024_signed.txt
ITC,ITC Limited,Alteration Of Capital and Fund Raising-XBRL,ITC LIMITED has informed the Exchange regarding Allotment of Securities,2024-01-10 16:26:52,https://nsearchives.nseindia.com/corporate/xbrl/ITC_10012024162652_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1014342_10012024042651_WEB.xml,./RE_Download\ITC_10012024162652_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1014342_10012024042651_WEB.xml,./RE_Download\ITC_10012024162652_ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1014342_10012024042651_WEB.txt
ITC,ITC Limited,ESOP/ESOS/ESPS,ITC Limited has informed the Exchange regarding Allotment of 1332330  Shares.,2024-01-10 16:24:04,https://nsearchives.nseindia.com/corporate/ITC_10012024162405_AllotmentLetter.pdf,./RE_Download\ITC_10012024162405_AllotmentLetter.pdf,./RE_Download\ITC_10012024162405_AllotmentLetter.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-01-05 17:35:07,https://nsearchives.nseindia.com/corporate/xbrl/ITC_05012024173507_LOSS_OF_SHARE_1008798_05012024053506_WEB.xml,./RE_Download\ITC_05012024173507_LOSS_OF_SHARE_1008798_05012024053506_WEB.xml,./RE_Download\ITC_05012024173507_LOSS_OF_SHARE_1008798_05012024053506_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-05 17:32:14,https://nsearchives.nseindia.com/corporate/ITC_05012024173214_loss_5jan2024_SIGNED.pdf,./RE_Download\ITC_05012024173214_loss_5jan2024_SIGNED.pdf,./RE_Download\ITC_05012024173214_loss_5jan2024_SIGNED.txt
ITC,ITC Limited,Loss/Duplicate-Share Certificate-XBRL,ITC LIMITED has informed the Exchange about Loss of share certificates,2024-01-04 18:48:46,https://nsearchives.nseindia.com/corporate/xbrl/ITC_04012024184846_LOSS_OF_SHARE_1008043_04012024064846_WEB.xml,./RE_Download\ITC_04012024184846_LOSS_OF_SHARE_1008043_04012024064846_WEB.xml,./RE_Download\ITC_04012024184846_LOSS_OF_SHARE_1008043_04012024064846_WEB.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2024-01-04 18:45:30,https://nsearchives.nseindia.com/corporate/ITC_04012024184530_loss_4jan2024_signed.pdf,./RE_Download\ITC_04012024184530_loss_4jan2024_signed.pdf,./RE_Download\ITC_04012024184530_loss_4jan2024_signed.txt
ITC,ITC Limited,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,ITC LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,2024-01-03 10:12:07,https://nsearchives.nseindia.com/corporate/xbrl/ITC_03012024101207_CIM_15711_1006938_03012024101206_WEB.xml,./RE_Download\ITC_03012024101207_CIM_15711_1006938_03012024101206_WEB.xml,./RE_Download\ITC_03012024101207_CIM_15711_1006938_03012024101206_WEB.txt
ITC,ITC Limited,Cessation,"ITC Limited has informed the Exchange regarding Cessation of Mr Nakul Anand  as Executive Director of the company w.e.f. January 03, 2024.",2024-01-03 10:09:17,https://nsearchives.nseindia.com/corporate/ITC_03012024100917_SE.pdf,./RE_Download\ITC_03012024100917_SE.pdf,./RE_Download\ITC_03012024100917_SE.txt
ITC,ITC Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ITC Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",2024-01-02 18:39:02,https://nsearchives.nseindia.com/corporate/ITC_02012024183902_MonthlydematrematDec2023.pdf,./RE_Download\ITC_02012024183902_MonthlydematrematDec2023.pdf,./RE_Download\ITC_02012024183902_MonthlydematrematDec2023.txt
ITC,ITC Limited,Loss of Share Certificates,ITC Limited has informed the Exchange about Loss of Share Certificates,2023-12-26 17:34:09,https://nsearchives.nseindia.com/corporate/ITC_26122023173409_DUP_26122023_ISSUE_SIGNED.pdf,./RE_Download\ITC_26122023173409_DUP_26122023_ISSUE_SIGNED.pdf,./RE_Download\ITC_26122023173409_DUP_26122023_ISSUE_SIGNED.txt
